,Oferta od,Kategoria,Pokaż oferty z numerem VIN,Ma numer rejestracyjny,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Spalanie Poza Miastem,Spalanie W Mieście,Typ nadwozia,Emisja CO2,Liczba drzwi,Liczba miejsc,Kolor,Rodzaj koloru,Data pierwszej rejestracji w historii pojazdu,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Stan,price,currency,Rok,Przebieg_add,Paliwo,Typ_nadwozia_add,Pierwszy właściciel (od nowości),Bezwypadkowy,Serwisowany w ASO,Kraj pochodzenia,Filtr cząstek stałych,VAT marża,Uszkodzony,Spalanie W Cyklu Mieszanym,VIN,Możliwość finansowania,Tuning,Leasing,Gwarancja dealerska (w cenie),Miesięczna rata,Zarejestrowany jako zabytek,lub do (przebieg km),Faktura VAT,Kierownica po prawej (Anglik),id
41,Osoby prywatnej,Osobowe,Tak,,Saab,9000,CSE 2.0i,,1994,342 000 km,1 985 cm3,Benzyna+LPG,130 KM,Manualna,Na przednie koła,8.0 l/100km,,Sedan,,5,,Szary,,,,Tak,Używane,12000,PLN,1994,342 000 km,Benzyna+LPG,Sedan,,,,,,,,,,,,,,,,,,,441
42,Firmy,Osobowe,Tak,,Saab,9-3,,II (2003-2011),2011,222 000 km,1 910 cm3,Diesel,160 KM,Manualna,Na przednie koła,,,Sedan,,4,5,Szary,Metalik,,,,Używane,27900,PLN,2011,222 000 km,Diesel,Sedan,,Tak,,,,Tak,,,,,,,,,,,,,442
43,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,2.0T Cabrio Aero,II (2003-2011),2004,207 995 km,1 998 cm3,Benzyna,210 KM,Automatyczna,Na przednie koła,6.9 l/100km,"13,40 l/100km",Kabriolet,214 g/km,2,4,Czarny,Metalik,29/01/2004,,Tak,Używane,25900,PLN,2004,207 995 km,Benzyna,Kabriolet,,,,Niemcy,,,,,,,,,,,,,,,443
44,Firmy,Osobowe,Tak,,Saab,9-3,,II (2003-2011),2010,359 206 km,1 910 cm3,Diesel,180 KM,Automatyczna,Na przednie koła,,"7,90 l/100km",Kombi,154 g/km,5,5,Czarny,Metalik,,,Tak,Używane,29900,PLN,2010,359 206 km,Diesel,Kombi,,Tak,Tak,Szwecja,Tak,,,,,,,,,,,,,,444
45,Osoby prywatnej,Osobowe,Tak,,Saab,900,2.0 C,,1986,230 000 km,1 985 cm3,Benzyna,99 KM,Manualna,,,,Auta małe,,3,,Biały,,,,,Używane,12900,PLN,1986,230 000 km,Benzyna,Auta małe,,,,,,,,,11111111111111111,,,,,,,,,,445
46,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,1.8i Linear,II (2003-2011),2005,330 000 km,1 796 cm3,Benzyna+LPG,122 KM,Manualna,Na przednie koła,7 l/100km,9 l/100km,Sedan,,5,5,Czarny,,,,Tak,Używane,9840,PLN,2005,330 000 km,Benzyna+LPG,Sedan,,,,Holandia,,,,8 l/100km,,,,,,,,,,,446
47,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,1.8t Sport-Kombi Linear,II (2003-2011),2007,397 546 km,1 998 cm3,Benzyna,150 KM,Manualna,Na przednie koła,5.9 l/100km,"10,90 l/100km",Kombi,,5,5,Czarny,Metalik,10/05/2007,KR3G790,Tak,Używane,6300,PLN,2007,397 546 km,Benzyna,Kombi,,,,Dania,,,,,,,,,,,,,,,447
48,Firmy,Osobowe,Tak,,Saab,9-5,,,2005,255 000 km,2 300 cm3,Benzyna,185 KM,Manualna,Na przednie koła,,,Kombi,,5,5,Szary,Metalik,,,,Używane,7999,PLN,2005,255 000 km,Benzyna,Kombi,Tak,Tak,Tak,Szwecja,,Tak,,,,Tak,,,,,,,,,448
49,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,,II (2003-2011),2006,306 000 km,1 998 cm3,Benzyna,150 KM,Manualna,,,,Sedan,,5,,Czarny,,,,,Używane,11600,PLN,2006,306 000 km,Benzyna,Sedan,,,,,,,,,YS3FB45FX71110298,,,,,,,,,,449
50,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,1.9 Cabriolet TiD DPF Vector,II (2003-2011),2006,269 000 km,1 910 cm3,Diesel,150 KM,Automatyczna,Na przednie koła,,"9,30 l/100km",Kabriolet,,2,4,Czarny,Metalik,,SCZ6611A,Tak,Używane,23900,PLN,2006,269 000 km,Diesel,Kabriolet,,Tak,,Belgia,Tak,,,,,,,,,,,,,,450
